A10937.1	Human rhinovirus A89 (RV-A89)		
AB003292.1	Pegivirus hominis - Human pegivirus 6 (HPgV-6)		
AB012132.1	Human parainfluenza virus 3 (HPIV-3)		
AB021287.1	Pegivirus hominis - Human pegivirus 4 (HPgV-4)		
AB025946.2	Alphatorquevirus homin19 - Torque teno virus 19 (TTV19)		
AB026929.1	Betatorquevirus homini6 - Torque teno mini virus 6 (TTMV6)		
AB026931.1	Betatorquevirus homini1 - Torque teno mini virus 1 (TTMV1)		
AB027020.1	Alphapapillomavirus 5 - Human papillomavirus 69 (HPV-69)		
AB027021.1	Alphapapillomavirus 5 - Human papillomavirus 82 (HPV-82)		
AB028668.1	Alphatorquevirus homin15 - Torque teno virus 15 (TTV15) / Torque teno virus 16 (TTV16)		
AB030907.1	Hepatitis C virus, genotype 2b (HCV-2b)		
AB031663.1	Hepatitis C virus, genotype 2k (HCV-2k)		
AB034155.1	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Yamagata/64	segment 7 (NS)	
AB037926.1	Alphatorquevirus homin14 - Torque teno virus 14 (TTV14)		
AB038621.1	Alphatorquevirus homin29 - Torque teno virus 27 (TTV22) / Torque teno virus 28 (TTV23) / Torque teno virus 29 (TTV24)		
AB038625.1	Betatorquevirus homini9 - Torque teno mini virus 9 (TTMV9)		
AB038627.1	Betatorquevirus homini7 - Torque teno mini virus 7 (TTMV7)		
AB038629.1	Betatorquevirus homini2 - Torque teno mini virus 2 (TTMV2)		
AB038630.1	Betatorquevirus homini3 - Torque teno mini virus 3 (TTMV3)		
AB040456.1	Alphapapillomavirus 14 - Human papillomavirus 71 (HPV-71)		
AB040749.1	Aichivirus A1 (AiV-A1)		
AB041007.1	Alphatorquevirus homin1 - Torque teno virus 1 (TTV1)		
AB041957.1	Alphatorquevirus homin4 - Torque teno virus 4 (TTV4)		
AB041962.1	Betatorquevirus homini5 - Torque teno mini virus 5 (TTMV5)		
AB041963.1	Betatorquevirus homini4 - Torque teno mini virus 4 (TTMV4)		
AB049608.1	Alphatorquevirus homin2 - Torque teno virus 2 (TTV2)		
AB060594.1	Alphatorquevirus homin20 - Torque teno virus 20 (TTV20)		
AB060597.1	Alphatorquevirus homin24 - Torque teno virus 22 (TTV22) / Torque teno virus 23 (TTV23) / Torque teno virus 24 (TTV24)		
AB064607.1	Alphatorquevirus homin10 - Torque teno virus 10 (TTV10)		
AB084788.1	Aichivirus B1 (AiV-B1)		
AB084913.1	Human parechovirus 3 (HPeV-3)		
AB126191.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 1 (PB2)	
AB126192.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 2 (PB1)	
AB126193.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 3 (P3)	
AB126194.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 4 (HEF)	
AB126195.1	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 5 (NP)	
AB126196.2	Gammainfluenzavirus influenzae - Influenza C virus (ICV), strain C/Ann Arbor/1/50	segment 6 (M/CM2)	
AB252582.1	Human parechovirus 6 (HPeV-6)		
AB290917.1	Gammatorquevirus homidi1 - Torque teno midi virus 1 (TTMdV1)		
AB290919.1	Gammatorquevirus homidi2 - Torque teno midi virus 2 (TTMdV2)		
AB303552.1	Gammatorquevirus homidi5 - Torque teno midi virus 5 (TTMdV5)		
AB303553.1	Gammatorquevirus homidi6 - Torque teno midi virus 6 (TTMdV6)		
AB303554.1	Gammatorquevirus homidi7 - Torque teno midi virus 7 (TTMdV7)		
AB303558.1	Gammatorquevirus homidi8 - Torque teno midi virus 8 (TTMdV8)		
AB303559.1	Gammatorquevirus homidi9 - Torque teno midi virus  (TTMdV9)		
AB303560.1	Gammatorquevirus homidi10 - Torque teno midi virus 10 (TTMdV10)		
AB303561.1	Gammatorquevirus homidi11 - Torque teno midi virus 11 (TTMdV11)		
AB303562.1	Gammatorquevirus homidi12 - Torque teno midi virus 12 (TTMdV12)		
AB303564.1	Gammatorquevirus homidi13 - Torque teno midi virus 13 (TTMdV13)		
AB303566.1	Gammatorquevirus homidi14 - Torque teno midi virus 14 (TTMdV14)		
AB333801.2	Human adenovirus 54 (HAdV-54)		
AB426608.1	Enterovirus B98 (EV-B98)		
AB426609.1	Enterovirus B107 (EV-B107)		
AB448767.1	Human adenovirus 8 (HAdV-8)		
AB449062.1	Gammatorquevirus homidi15 - Torque teno midi virus 15 (TTMdV15)		
AB486012.1	Hepatitis B virus, genotype J (HBV-J)		
AB543336.1	Human parainfluenza virus 4 (HPIV-4)		
AB562586.1	Human adenovirus 15 (HAdV-15)		
AB620100.1	Orthohantavirus montanoense - Montaño virus (MTNV)	S segment	
AB620101.1	Orthohantavirus montanoense - Montaño virus (MTNV)	M segment	
AB620102.1	Orthohantavirus montanoense - Montaño virus (MTNV)	L segment	
AB620103.1	Orthohantavirus carrizalense - Carrizal virus (CARV)	S segment	
AB620104.1	Orthohantavirus carrizalense - Carrizal virus (CARV)	M segment	
AB620105.1	Orthohantavirus carrizalense - Carrizal virus (CARV)	L segment	
AB620106.1	Orthohantavirus carrizalense - Huitzilac virus (HUIV)	S segment	
AB620107.1	Orthohantavirus carrizalense - Huitzilac virus (HUIV)	M segment	
AB620108.1	Orthohantavirus carrizalense - Huitzilac virus (HUIV)	L segment	
AB646346.1	Gammapapillomavirus 11 - Human papillomavirus 126 (HPV-126)		
AB675463.1	Orthohantavirus puumalaense - Hokkaido virus  (HOKV)	S segment	
AB676848.1	Orthohantavirus puumalaense - Hokkaido virus  (HOKV)	M segment	
AB712372.1	Orthohantavirus puumalaense - Hokkaido virus  (HOKV)	L segment	
AB745694.1	Alphapapillomavirus 2 - Human papillomavirus 160 (HPV-160)		
AC_000006.1	Human adenovirus 17 (HAdV-17)		
AC_000008.1	Human adenovirus 5 (HAdV-5)		
AC_000017.1	Human adenovirus 1 (HAdV-1)		
AC_000018.1	Human adenovirus 7 (HAdV-7)		
AC_000019.1	Human adenovirus 35 (HAdV-35)		
AF009606.1	Hepatitis C virus, genotype 1a (HCV-1a)		
AF017149.3	Hendra virus (HeV)		
AF029859.2	Echovirus 1 (E1)		
AF033817.1	Human T-cell lymphotropic virus 1 (HTLV-1)		
AF039205.1	Coxsackievirus B6 (CV-B6)		
AF055846.1	Human parechovirus 5 (HPeV-5)		
AF075251.1	Venezuelan equine encephalitis virus II (VEEV-II)		
AF075253.1	Venezuelan equine encephalitis virus IIIA (VEEV-IIIA)		
AF075254.1	Venezuelan equine encephalitis virus IIIB (VEEV-IIIB)		
AF075255.1	Venezuelan equine encephalitis virus IIIC (VEEV-IIIC)		
AF075256.1	Venezuelan equine encephalitis virus IV (VEEV-IV)		
AF075257.1	Venezuelan equine encephalitis virus IF (VEEV-IF)		
AF075258.1	Venezuelan equine encephalitis virus VI (VEEV-VI)		
AF075259.1	Venezuelan equine encephalitis virus V (VEEV-V)		
AF081485.1	Coxsackievirus B2 (CV-B2)		
AF083069.1	Echovirus 5 (E5)		
AF086833.2	Ebola virus (EBOV)		
AF101982.1	Betainfluenzavirus influenzae - Influenza B virus (IBV), strain B/Lee/1940	segment 1 (PB2)	
AF102017.1	Betainfluenzavirus influenzae - Influenza B virus (IBV), strain B/Lee/1940	segment 3 (PA)	
AF114383.1	Coxsackievirus B5 (CV-B5)		
AF131950.1	Alphapapillomavirus 7 - Human papillomavirus 85 (HPV-85)		
AF144300.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 1 (PB2)	
AF144301.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 2 (PB1)	
AF144302.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 3 (PA)	
AF144303.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 5 (NP)	
AF144304.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 6 (NA)	
AF144305.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 4 (HA)	
AF144306.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 7 (MP)	
AF144307.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/goose/Guangdong/1/1996(H5N1)	segment 8 (NS)	
AF151983.1	Alphapapillomavirus 3 - Human papillomavirus 83 (HPV-83)		
AF160501.1	Hepatitis B virus, genotype G (HBV-G)		
AF162711.1	Echovirus 30 (E30)		
AF182760.1	Sapovirus sapporoense, Cowden I strain		
AF212302.2	Nipah virus (NiV)		
